key,value
format_version,1
run_id,basic_match_fixture
created_at,fixture
random_seed,20260715
team01,Botafogo
team02,Flamengo
sample_stride,5
manifest_path,replay_basic_match.json
snapshots_path,match_basic_match.csv
events_path,events_basic_match.csv
derived_events_path,derived_events_basic_match.csv
heatmap_path,heatmap_basic_match.csv
metrics_path,metrics_basic_match.csv
pressure_path,pressure_basic_match.csv
shots_path,shots_basic_match.csv
collisions_path,collisions_basic_match.csv
pass_lanes_path,pass_lanes_basic_match.csv
summary_path,summary_basic_match.json
